Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
6,2030,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2030,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2030,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2030,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2030,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2030,0,0,0,0,0,0
12,2030,0,0,0,0,0,0
13,2030,0,0,0,0,0,0
14,2030,0,0,0,0,0,0
15,2030,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2030,0,0,0,0,0,0
17,2030,0,0,0,0,0,0
18,2030,0,0,0,0,0,0
19,2030,0,0,0,0,0,0
20,2030,0,0,0,0,0,0
1,2035,0,0,0,0,0,0
2,2035,0,0,0,0,0,0
3,2035,0,0,0,0,0,0
4,2035,0,0,0,0,0,0
5,2035,0,0,0,0,0,0
6,2035,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2035,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2035,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2035,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2035,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2035,0,0,0,0,0,0
12,2035,0,0,0,0,0,0
13,2035,0,0,0,0,0,0
14,2035,0,0,0,0,0,0
15,2035,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2035,0,0,0,0,0,0
17,2035,0,0,0,0,0,0
18,2035,0,0,0,0,0,0
19,2035,0,0,0,0,0,0
20,2035,0,0,0,0,0,0
1,2040,0,0,0,0,0,0
2,2040,0,0,0,0,0,0
3,2040,0,0,0,0,0,0
4,2040,0,0,0,0,0,0
5,2040,0,0,0,0,0,0
6,2040,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2040,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2040,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2040,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2040,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2040,0,0,0,0,0,0
12,2040,0,0,0,0,0,0
13,2040,0,0,0,0,0,0
14,2040,0,0,0,0,0,0
15,2040,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2040,0,0,0,0,0,0
17,2040,0,0,0,0,0,0
18,2040,0,0,0,0,0,0
19,2040,0,0,0,0,0,0
20,2040,0,0,0,0,0,0
1,2045,0,0,0,0,0,0
2,2045,0,0,0,0,0,0
3,2045,0,0,0,0,0,0
4,2045,0,0,0,0,0,0
5,2045,0,0,0,0,0,0
6,2045,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2045,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2045,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2045,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2045,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2045,0,0,0,0,0,0
12,2045,0,0,0,0,0,0
13,2045,0,0,0,0,0,0
14,2045,0,0,0,0,0,0
15,2045,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2045,0,0,0,0,0,0
17,2045,0,0,0,0,0,0
18,2045,0,0,0,0,0,0
19,2045,0,0,0,0,0,0
20,2045,0,0,0,0,0,0
1,2050,0,0,0,0,0,0
2,2050,0,0,0,0,0,0
3,2050,0,0,0,0,0,0
4,2050,0,0,0,0,0,0
5,2050,0,0,0,0,0,0
6,2050,0,693.9232828,398.0160571,68.76717217,7.293487957,0
7,2050,0,994.544157,570.4442462,98.55842997,10.45316682,0
8,2050,0,1097.919715,629.7377342,108.8028546,11.5396967,0
9,2050,0,279.8269402,160.5013381,27.73059768,2.941123996,0
10,2050,0,575.1008029,329.8626227,56.99197145,6.044603033,0
11,2050,0,0,0,0,0,0
12,2050,0,0,0,0,0,0
13,2050,0,0,0,0,0,0
14,2050,0,0,0,0,0,0
15,2050,0,535.8893845,307.3719893,53.10615522,5.632471008,0
16,2050,0,0,0,0,0,0
17,2050,0,0,0,0,0,0
18,2050,0,0,0,0,0,0
19,2050,0,0,0,0,0,0
20,2050,0,0,0,0,0,0
