Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
302,2005,0.12,0.22,0.31,0.35
303,2005,0.23,0.16,0.31,0.31
304,2005,0.23,0.32,0.24,0.21
305,2005,0.11,0.21,0.2,0.48
306,2005,0.16,0.14,0.31,0.39
307,2005,0.23,0.12,0.25,0.4
308,2005,0.15,0.23,0.3,0.32
309,2005,0.31,0.25,0.22,0.22
310,2005,0.17,0.18,0.22,0.43
311,2005,0.09,0.16,0.34,0.41
312,2005,0.15,0.27,0.13,0.45
313,2005,0.19,0.24,0.19,0.38
314,2005,0.09,0.25,0.39,0.27
315,2005,0.3,0.19,0.24,0.27
316,2005,0.45,0.38,0.12,0.05
317,2005,0.21,0.27,0.34,0.18
318,2005,0.51,0.26,0.18,0.05
319,2005,0.1,0.22,0.3,0.38
320,2005,0.12,0.26,0.3,0.32
321,2005,0.16,0.25,0.38,0.21
322,2005,0.21,0.2,0.36,0.23
323,2005,0.04,0.03,0.16,0.77
324,2005,0.17,0.21,0.25,0.37
325,2005,0.13,0.21,0.28,0.38
326,2005,0.2,0.21,0.26,0.33
327,2005,0.23,0.23,0.34,0.2
328,2005,0.14,0.29,0.33,0.24
329,2005,0.11,0.35,0.35,0.18
330,2005,0.09,0.18,0.36,0.37
331,2005,0.55,0.2,0.17,0.08
332,2005,0.45,0.13,0.22,0.2
333,2005,0.72,0.1,0.13,0.05
334,2005,0.18,0.31,0.25,0.26
335,2005,0.15,0.25,0.39,0.21
336,2005,0.14,0.23,0.29,0.34
337,2005,0.27,0.26,0.27,0.2
338,2005,0.3,0.31,0.23,0.16
339,2005,0.05,0.25,0.28,0.42
340,2005,0.16,0.2,0.34,0.3
341,2005,0.21,0.19,0.23,0.37
342,2005,0.15,0.24,0.24,0.37
343,2005,0.22,0.17,0.25,0.36
344,2005,0.14,0.46,0.3,0.1
345,2005,0.31,0.34,0.2,0.15
346,2005,0.29,0.36,0.25,0.1
347,2005,0.13,0.35,0.21,0.31
348,2005,0.4,0.38,0.16,0.06
349,2005,0.4,0.33,0.17,0.1
350,2005,0.51,0.26,0.09,0.14
351,2005,0.31,0.24,0.25,0.2
352,2005,0.15,0.21,0.3,0.34
353,2005,0.18,0.23,0.22,0.37
354,2005,0.12,0.32,0.27,0.29
355,2005,0.19,0.27,0.29,0.25
356,2005,0.17,0.33,0.32,0.18
357,2005,0.2,0.44,0.16,0.2
358,2005,0.22,0.19,0.36,0.23
359,2005,0.22,0.26,0.2,0.32
360,2005,0.13,0.27,0.3,0.3
361,2005,0.3,0.13,0.22,0.35
362,2005,0.16,0.18,0.37,0.29
363,2005,0.2,0.18,0.25,0.37
364,2005,0.39,0.28,0.19,0.14
365,2005,0.13,0.27,0.29,0.31
366,2005,0.08,0.25,0.31,0.36
367,2005,0.18,0.2,0.39,0.23
368,2005,0.14,0.19,0.3,0.37
369,2005,0.28,0.32,0.24,0.16
370,2005,0.18,0.36,0.26,0.2
371,2005,0.24,0.36,0.33,0.07
372,2005,0.16,0.16,0.32,0.36
373,2005,0.21,0.23,0.32,0.24
374,2005,0.12,0.27,0.26,0.35
375,2005,0.32,0.36,0.17,0.15
376,2005,0.2,0.24,0.29,0.27
377,2005,0.45,0.37,0.14,0.04
378,2005,0.08,0.19,0.4,0.33
379,2005,0.22,0.22,0.27,0.29
380,2005,0.12,0.24,0.31,0.33
381,2005,0.16,0.34,0.27,0.23
382,2005,0.18,0.26,0.26,0.3
383,2005,0.09,0.15,0.26,0.5
384,2005,0.02,0.18,0.32,0.48
385,2005,0.09,0.24,0.22,0.45
386,2005,0.27,0.25,0.32,0.16
387,2005,0.42,0.27,0.26,0.05
388,2005,0.27,0.36,0.2,0.17
389,2005,0.2,0.21,0.32,0.27
390,2005,0.16,0.34,0.21,0.29
391,2005,0.53,0.13,0.23,0.11
392,2005,0.17,0.32,0.34,0.17
393,2005,0.25,0.17,0.28,0.3
394,2005,0.14,0.22,0.29,0.35
395,2005,0.14,0.35,0.35,0.16
396,2005,0.42,0.27,0.23,0.08
397,2005,0.32,0.23,0.23,0.22
398,2005,0.18,0.35,0.26,0.21
399,2005,0.39,0.16,0.25,0.2
400,2005,0.09,0.24,0.33,0.34
401,2005,0.09,0.09,0.27,0.55
402,2005,0.11,0.28,0.26,0.35
403,2005,0.22,0.24,0.27,0.27
404,2005,0.12,0.23,0.38,0.27
405,2005,0.23,0.24,0.3,0.23
406,2005,0.56,0.24,0.14,0.06
407,2005,0.28,0.41,0.19,0.12
408,2005,0.17,0.25,0.26,0.32
409,2005,0.38,0.21,0.22,0.19
410,2005,0.36,0.26,0.27,0.11
411,2005,0.29,0.38,0.19,0.14
412,2005,0.44,0.37,0.16,0.03
413,2005,0.19,0.39,0.27,0.15
414,2005,0.13,0.28,0.32,0.27
415,2005,0.38,0.39,0.15,0.08
416,2005,0.28,0.29,0.28,0.15
417,2005,0.63,0.35,0.02,0
418,2005,0.39,0.25,0.25,0.11
419,2005,0.3,0.31,0.21,0.18
420,2005,0.18,0.4,0.32,0.1
421,2005,0.35,0.22,0.24,0.19
422,2005,0.25,0.25,0.31,0.19
423,2005,0.23,0.24,0.26,0.26
424,2005,0.22,0.29,0.25,0.24
425,2005,0.42,0.38,0.14,0.06
426,2005,0.6,0.18,0.18,0.04
427,2005,0.3,0.38,0.22,0.1
428,2005,0.41,0.41,0.16,0.03
429,2005,0.29,0.16,0.3,0.25
430,2005,0.35,0.32,0.18,0.15
431,2005,0.18,0.27,0.34,0.21
432,2005,0.25,0.38,0.21,0.16
433,2005,0.53,0.19,0.13,0.15
434,2005,0.1,0.24,0.34,0.32
435,2005,0.18,0.49,0.24,0.09
436,2005,0.15,0.17,0.38,0.3
437,2005,0.11,0.27,0.3,0.32
438,2005,0.14,0.29,0.36,0.21
439,2005,0.34,0.3,0.31,0.05
440,2005,0.36,0.26,0.32,0.06
441,2005,0.29,0.17,0.29,0.25
442,2005,0.17,0.23,0.41,0.19
443,2005,0.21,0.34,0.23,0.22
444,2005,0.33,0.35,0.17,0.15
445,2005,0.6,0.23,0.13,0.04
446,2005,0.53,0.36,0.09,0.02
447,2005,0.45,0.27,0.22,0.06
448,2005,0.37,0.34,0.24,0.05
449,2005,0.2,0.37,0.25,0.18
450,2005,0.34,0.28,0.3,0.08
451,2005,0.37,0.26,0.27,0.1
452,2005,0.31,0.24,0.28,0.17
453,2005,0.42,0.3,0.18,0.1
454,2005,0.46,0.24,0.14,0.16
455,2005,0.57,0.32,0.09,0.02
456,2005,0.23,0.19,0.23,0.35
457,2005,0.32,0.26,0.2,0.22
458,2005,0.39,0.28,0.2,0.13
459,2005,0.28,0.23,0.21,0.28
1,2010,0.16,0.24,0.3,0.3
2,2010,0.24,0.21,0.28,0.28
3,2010,0.17,0.2,0.38,0.25
4,2010,0.12,0.16,0.2,0.52
5,2010,0.15,0.2,0.4,0.25
6,2010,0.2,0.34,0.35,0.11
7,2010,0.3,0.42,0.21,0.07
8,2010,0.34,0.35,0.24,0.07
9,2010,0.48,0.25,0.22,0.05
10,2010,0.44,0.35,0.16,0.05
11,2010,0.33,0.26,0.22,0.19
12,2010,0.34,0.31,0.29,0.06
13,2010,0.25,0.26,0.29,0.2
14,2010,0.37,0.28,0.23,0.12
15,2010,0.3,0.24,0.26,0.2
16,2010,0.44,0.23,0.23,0.1
17,2010,0.32,0.21,0.25,0.22
18,2010,0.34,0.35,0.2,0.11
19,2010,0.31,0.17,0.18,0.34
20,2010,0.34,0.27,0.23,0.16
21,2010,0.14,0.16,0.19,0.51
22,2010,0.18,0.32,0.25,0.25
23,2010,0.08,0.32,0.25,0.35
24,2010,0.24,0.24,0.27,0.25
25,2010,0.17,0.21,0.33,0.29
26,2010,0.22,0.27,0.2,0.31
27,2010,0.34,0.34,0.28,0.04
28,2010,0.25,0.38,0.3,0.07
29,2010,0.35,0.35,0.22,0.08
30,2010,0.36,0.25,0.2,0.19
31,2010,0.25,0.19,0.28,0.28
32,2010,0.09,0.14,0.22,0.55
33,2010,0.36,0.27,0.21,0.16
34,2010,0.33,0.18,0.24,0.25
35,2010,0.26,0.18,0.2,0.36
36,2010,0.44,0.2,0.22,0.14
37,2010,0.06,0.14,0.27,0.53
38,2010,0.26,0.19,0.22,0.33
39,2010,0.05,0.12,0.21,0.62
40,2010,0.09,0.17,0.38,0.36
41,2010,0.16,0.16,0.23,0.45
42,2010,0.09,0.15,0.24,0.52
43,2010,0.2,0.21,0.3,0.3
44,2010,0.14,0.25,0.24,0.37
45,2010,0.11,0.35,0.31,0.23
46,2010,0.22,0.36,0.27,0.15
47,2010,0.27,0.27,0.26,0.2
48,2010,0.47,0.24,0.13,0.16
49,2010,0.16,0.18,0.25,0.41
50,2010,0.13,0.18,0.3,0.39
51,2010,0.17,0.22,0.28,0.33
52,2010,0.47,0.29,0.18,0.06
53,2010,0.33,0.28,0.21,0.18
54,2010,0.58,0.24,0.12,0.06
55,2010,0.36,0.33,0.18,0.13
56,2010,0.29,0.26,0.26,0.19
57,2010,0.13,0.22,0.28,0.37
58,2010,0.31,0.31,0.25,0.13
59,2010,0.25,0.31,0.24,0.2
60,2010,0.26,0.21,0.23,0.3
61,2010,0.36,0.29,0.21,0.14
62,2010,0.22,0.28,0.24,0.26
63,2010,0.34,0.29,0.2,0.17
64,2010,0.41,0.28,0.21,0.1
65,2010,0.21,0.22,0.27,0.3
66,2010,0.29,0.38,0.23,0.1
67,2010,0.12,0.36,0.28,0.24
68,2010,0.56,0.18,0.16,0.1
69,2010,0.23,0.22,0.35,0.2
70,2010,0.48,0.25,0.17,0.1
71,2010,0.33,0.35,0.21,0.11
72,2010,0.34,0.16,0.31,0.19
73,2010,0.24,0.1,0.3,0.36
74,2010,0.2,0.11,0.12,0.57
75,2010,0.03,0.05,0.23,0.69
76,2010,0.15,0.09,0.1,0.66
77,2010,0.33,0.09,0.16,0.42
78,2010,0.51,0,0.24,0.25
79,2010,0.39,0.11,0.26,0.24
80,2010,0.02,0.11,0.48,0.39
81,2010,0.2,0.2,0.12,0.48
82,2010,0.18,0.33,0.34,0.15
83,2010,0.2,0.1,0.26,0.44
84,2010,0.27,0.17,0.27,0.29
85,2010,0.23,0.22,0.22,0.33
86,2010,0.05,0.11,0.24,0.6
87,2010,0.13,0.17,0.28,0.42
88,2010,0.14,0.1,0.17,0.59
89,2010,0.19,0.11,0.22,0.48
90,2010,0.2,0.22,0.15,0.43
91,2010,0.14,0.21,0.29,0.36
92,2010,0.08,0.19,0.16,0.57
93,2010,0.08,0.09,0.32,0.51
94,2010,0.11,0.21,0.35,0.33
95,2010,0.19,0.22,0.25,0.34
96,2010,0.15,0.17,0.27,0.41
97,2010,0.28,0.23,0.23,0.26
98,2010,0.1,0.19,0.23,0.48
99,2010,0.25,0.2,0.27,0.28
100,2010,0.15,0.19,0.31,0.35
101,2010,0.21,0.27,0.19,0.33
102,2010,0.15,0.11,0.11,0.63
103,2010,0.17,0.08,0.16,0.59
104,2010,0.08,0.1,0.18,0.64
105,2010,0.05,0.08,0.17,0.7
106,2010,0.09,0.21,0.33,0.37
107,2010,0.3,0.32,0.21,0.17
108,2010,0.29,0.18,0.34,0.19
109,2010,0.69,0.07,0.24,0
110,2010,0.49,0.24,0.15,0.12
111,2010,0.38,0.22,0.26,0.14
112,2010,0.57,0.23,0.12,0.08
113,2010,0.41,0.36,0.19,0.04
114,2010,0.33,0.25,0.23,0.19
115,2010,0.41,0.29,0.21,0.09
116,2010,0.26,0.43,0.18,0.13
117,2010,0.31,0.24,0.31,0.15
118,2010,0.35,0.29,0.24,0.12
119,2010,0.42,0.27,0.18,0.13
120,2010,0.36,0.37,0.19,0.08
121,2010,0.65,0.21,0.11,0.03
122,2010,0.43,0.35,0.18,0.04
123,2010,0.59,0.2,0.17,0.04
124,2010,0.36,0.39,0.19,0.06
125,2010,0.38,0.38,0.22,0.02
126,2010,0.4,0.3,0.24,0.06
127,2010,0.36,0.38,0.17,0.09
128,2010,0.24,0.24,0.31,0.21
129,2010,0.29,0.31,0.33,0.07
130,2010,0.51,0.37,0.1,0.02
131,2010,0.44,0.25,0.16,0.15
132,2010,0.36,0.33,0.18,0.13
133,2010,0.41,0.36,0.11,0.12
134,2010,0.43,0.28,0.23,0.06
135,2010,0.46,0.34,0.16,0.04
136,2010,0.38,0.25,0.26,0.11
137,2010,0.26,0.29,0.28,0.17
138,2010,0.37,0.23,0.23,0.17
139,2010,0.37,0.21,0.2,0.22
140,2010,0.32,0.42,0.2,0.06
141,2010,0.49,0.28,0.16,0.07
142,2010,0.45,0.22,0.24,0.09
143,2010,0.52,0.34,0.09,0.05
144,2010,0.51,0.24,0.14,0.11
145,2010,0.37,0.35,0.2,0.08
146,2010,0.65,0.2,0.13,0.02
147,2010,0.5,0.21,0.22,0.07
148,2010,0.45,0.31,0.15,0.09
149,2010,0.09,0.29,0.29,0.33
150,2010,0.18,0.39,0.25,0.18
151,2010,0.16,0.35,0.3,0.19
152,2010,0.21,0.2,0.32,0.27
153,2010,0.28,0.28,0.24,0.2
154,2010,0.52,0.26,0.15,0.07
155,2010,0.22,0.27,0.33,0.18
156,2010,0.32,0.39,0.23,0.06
157,2010,0.2,0.39,0.28,0.13
158,2010,0.27,0.26,0.26,0.21
159,2010,0.48,0.35,0.12,0.05
160,2010,0.25,0.25,0.29,0.21
161,2010,0.23,0.31,0.29,0.17
162,2010,0.12,0.24,0.33,0.31
163,2010,0.3,0.3,0.16,0.23
164,2010,0.14,0.31,0.33,0.22
165,2010,0.42,0.29,0.17,0.12
166,2010,0.25,0.2,0.34,0.21
167,2010,0.5,0.17,0.23,0.1
168,2010,0.35,0.42,0.15,0.08
169,2010,0.16,0.33,0.28,0.23
170,2010,0.51,0.07,0.07,0.35
171,2010,0.25,0.25,0.25,0.25
172,2010,0.12,0.09,0.25,0.54
173,2010,0.18,0.2,0.19,0.43
174,2010,0.11,0.25,0.25,0.39
175,2010,0.18,0.18,0.21,0.43
176,2010,0.11,0.18,0.21,0.5
177,2010,0.17,0.25,0.22,0.36
178,2010,0.09,0.08,0.18,0.65
179,2010,0.04,0.13,0.31,0.52
180,2010,0.14,0.14,0.21,0.51
181,2010,0.12,0.1,0.18,0.6
182,2010,0.1,0.12,0.26,0.52
183,2010,0.16,0.26,0.16,0.42
184,2010,0.11,0.2,0.23,0.46
185,2010,0.13,0.17,0.26,0.44
186,2010,0.35,0.26,0.23,0.16
187,2010,0.34,0.31,0.26,0.09
188,2010,0.32,0.26,0.32,0.09
189,2010,0.31,0.31,0.27,0.11
190,2010,0.5,0.21,0.13,0.16
191,2010,0.18,0.32,0.28,0.22
192,2010,0.19,0.25,0.34,0.22
193,2010,0.15,0.22,0.34,0.29
194,2010,0.33,0.37,0.2,0.1
195,2010,0.31,0.31,0.27,0.11
196,2010,0.26,0.34,0.25,0.15
197,2010,0.15,0.25,0.33,0.27
198,2010,0.43,0.23,0.23,0.11
199,2010,0.37,0.35,0.19,0.09
200,2010,0.24,0.24,0.33,0.19
201,2010,0.26,0.23,0.35,0.16
202,2010,0.12,0.38,0.28,0.22
203,2010,0.1,0.26,0.32,0.32
