Geo,Year,HighCarSvcCost.2018,LowCarSvcCost.2018,AveCarSvcVehicleAge,AutoCarSvcSubProp,LtTrkCarSvcSubProp
15,2045,2,4,5,0.95,0.75
16,2045,2,4,5,0.95,0.75
17,2045,2,4,5,0.95,0.75
18,2045,2,4,5,0.95,0.75
19,2045,2,4,5,0.95,0.75
20,2045,2,4,5,0.95,0.75
1,2050,2,4,5,0.95,0.75
2,2050,2,4,5,0.95,0.75
3,2050,2,4,5,0.95,0.75
4,2050,2,4,5,0.95,0.75
5,2050,2,4,5,0.95,0.75
6,2050,2,4,5,0.95,0.75
7,2050,2,4,5,0.95,0.75
8,2050,2,4,5,0.95,0.75
9,2050,2,4,5,0.95,0.75
10,2050,2,4,5,0.95,0.75
11,2050,2,4,5,0.95,0.75
12,2050,2,4,5,0.95,0.75
13,2050,2,4,5,0.95,0.75
14,2050,2,4,5,0.95,0.75
15,2050,2,4,5,0.95,0.75
16,2050,2,4,5,0.95,0.75
17,2050,2,4,5,0.95,0.75
18,2050,2,4,5,0.95,0.75
19,2050,2,4,5,0.95,0.75
20,2050,2,4,5,0.95,0.75
